Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2, T3)
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_8	-1517.05	3050.1	3983.68	102.54	0.3232,0.3512,1.4962,0.6571,5.1855,9.9822,0.1344,0.3082
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_9	-1126.77	2269.54	2605.39	148.44	0.2918,0.3458,2.1549,0.5302,4.3967,4.1828,0.5409,0.5623
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_10	-1318.1	2652.2	5375.03	141.23	0.2236,1.9607,1.0128,1.1963,12.51,3.6079,0.271,0.4649
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_11	-2265.43	4546.86	58824.99	164.83	0.3176,1.9349,1.8901,0.6068,5.5313,2.81,0.2074,0.1882
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_12	-854.17	1724.34	2094.13	85.98	0.1094,2.3481,1.0963,0.5349,4.9291,14.5026,0.113,1.0423
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_13	-2452.74	4921.48	50669.53	72.11	0.9651,2.6217,1.1605,0.8011,9.2452,13.3679,0.17,0.1997
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_14	-1641.51	3299.02	14615.38	115.55	0.3573,1.4645,0.4532,0.5522,6.1825,18.0955,0.3243,1.484
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_15	-1299.8	2615.6	3150.97	71.53	0.1887,0.2483,0.8607,0.5923,1.5265,17.6044,0.1813,0.169
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_16	-1020.48	2056.96	2059.17	68.21	0.3878,0.1894,0.2331,0.5673,3.0888,24.3094,0.2474,0.3403
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_17	-671.84	1359.68	898.4	90.05	0.558,0.1818,1.0991,1.3334,2.9616,10.4521,0.2052,1.1608
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_18	-2896.83	5809.66	503325.51	137.25	0.1625,2.3696,0.3351,0.312,1.2115,14.4517,0.4615,1.4043
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_19	-984.09	1984.18	2045.36	259.81	0.1016,0.3023,1.2255,0.2609,6.2564,2.1795,0.0903,0.3552
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_20	-1843.31	3702.62	15156.9	87.92	0.1697,1.8802,0.242,1.2992,8.9306,22.2508,0.503,1.099
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_21	-968.43	1952.86	1506.76	150.97	0.3013,0.458,1.3442,1.7525,5.0609,2.1283,0.0743,0.7762
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_22	-1075.7	2167.4	2140.21	142.22	0.0708,0.5527,0.7303,1.7498,1.9295,3.2514,0.7871,0.6051
